datetime,CFFEX.IF1904.open,CFFEX.IF1904.high,CFFEX.IF1904.low,CFFEX.IF1904.close,CFFEX.IF1904.volume,CFFEX.IF1904.open_oi,CFFEX.IF1904.close_oi
2019-03-15 13:22:00.000000000,3744.8,3745.4,3742.2,3743.2,261,52579,52632
2019-03-15 13:23:00.000000000,3743.2,3749.8,3743.2,3749.8,362,52632,52711
2019-03-15 13:24:00.000000000,3749.8,3750.0,3743.0,3744.0,304,52711,52786
2019-03-15 13:25:00.000000000,3744.0,3745.4,3738.8,3739.2,489,52786,52943
2019-03-15 13:26:00.000000000,3739.2,3746.2,3739.2,3744.6,327,52943,53020
2019-03-15 13:27:00.000000000,3744.6,3747.8,3744.0,3745.4,210,53020,53079
2019-03-15 13:28:00.000000000,3745.4,3746.0,3742.2,3745.0,192,53079,53171
2019-03-15 13:29:00.000000000,3745.0,3748.0,3743.2,3747.0,213,53171,53218
2019-03-15 13:30:00.000000000,3747.0,3747.2,3741.0,3742.2,343,53218,53312
2019-03-15 13:31:00.000000000,3742.2,3747.2,3742.2,3746.4,157,53312,53375
2019-03-15 13:32:00.000000000,3746.4,3747.6,3744.8,3744.8,144,53375,53436
2019-03-15 13:33:00.000000000,3744.8,3746.4,3737.0,3738.0,551,53436,53619
2019-03-15 13:34:00.000000000,3738.0,3740.0,3736.2,3738.0,467,53619,53739
2019-03-15 13:35:00.000000000,3738.0,3743.8,3737.6,3740.4,306,53739,53883
2019-03-15 13:36:00.000000000,3740.4,3742.0,3736.2,3736.8,271,53883,53987
2019-03-15 13:37:00.000000000,3736.8,3736.8,3731.6,3733.4,663,53987,54211
2019-03-15 13:38:00.000000000,3733.4,3742.0,3733.4,3739.2,334,54211,54318
2019-03-15 13:39:00.000000000,3739.2,3744.2,3738.4,3743.0,272,54318,54412
2019-03-15 13:40:00.000000000,3743.0,3745.8,3742.4,3744.8,305,54412,54499
2019-03-15 13:41:00.000000000,3744.8,3744.8,3743.0,3744.0,178,54499,54536
2019-03-15 13:42:00.000000000,3744.0,3744.0,3741.4,3741.4,112,54536,54586
2019-03-15 13:43:00.000000000,3741.4,3741.6,3738.0,3738.0,160,54586,54650
2019-03-15 13:44:00.000000000,3738.0,3742.6,3737.2,3739.6,204,54650,54747
2019-03-15 13:45:00.000000000,3739.6,3740.8,3738.4,3740.6,144,54747,54801
2019-03-15 13:46:00.000000000,3740.6,3743.6,3735.8,3735.8,232,54801,54876
2019-03-15 13:47:00.000000000,3735.8,3741.0,3735.6,3737.4,203,54876,54925
2019-03-15 13:48:00.000000000,3737.4,3740.6,3736.0,3737.0,214,54925,55026
2019-03-15 13:49:00.000000000,3737.0,3737.2,3732.2,3732.2,338,55026,55148
2019-03-15 13:50:00.000000000,3732.2,3736.4,3731.2,3732.2,287,55148,55251
2019-03-15 13:51:00.000000000,3732.2,3734.6,3730.8,3733.2,315,55251,55363
2019-03-15 13:52:00.000000000,3733.2,3733.6,3723.6,3724.6,677,55363,55562
2019-03-15 13:53:00.000000000,3724.6,3728.6,3724.6,3727.2,290,55562,55665
